925	772	374	149	254
374	534	881	732	44
122	805	360	57	987
509	856	109	897	921
161	60	381	202	310
5	875	339	742	801
359	975	994	59	627
44	422	387	150	48
213	52	714	196	47
7	274	956	880	229
705	692	375	453	344
116	989	450	852	253
650	447	95	339	20
537	969	430	849	437
764	292	739	142	30
753	926	584	2	246
558	461	894	552	321
463	729	989	986	883
199	658	800	438	434
124	835	812	598	753
683	85	953	948	123
386	141	460	310	928
80	469	584	277	395
200	134	677	175	265
796	82	97	809	262
435	307	364	119	629
851	736	794	149	489
721	784	261	983	599
897	203	953	885	618
433	54	720	786	215
445	323	588	127	529
708	564	943	762	797
231	549	391	741	275
406	22	218	473	195
536	301	558	436	147
719	598	537	804	462
64	290	184	735	501
753	151	647	676	558
111	439	1000	638	934
873	786	245	842	434
176	10	69	249	347
648	886	182	351	798
81	720	506	520	742
349	104	661	536	501
219	586	544	789	951
403	808	300	195	588
390	94	214	263	193
667	148	142	753	612
392	512	809	722	101
844	71	573	219	41
554	582	216	492	336
427	93	119	890	568
362	748	508	260	369
624	638	204	605	237
399	320	331	919	506
113	851	47	755	707
370	89	1	660	752
590	559	575	974	85
488	669	441	937	479
841	6	827	130	514
709	120	786	925	666
615	721	470	252	418
130	821	466	161	520
63	243	195	100	212
284	523	530	889	789
932	26	366	96	431
60	388	214	695	246
323	360	88	629	26
31	848	999	811	327
752	151	826	437	116
538	856	23	883	427
633	696	459	265	941
478	233	526	448	369
366	878	310	393	690
703	347	200	365	662
219	416	429	858	769
266	147	530	920	850
144	684	758	331	637
566	843	109	28	404
397	312	715	480	761
147	545	847	632	794
706	977	207	266	422
694	573	820	221	262
847	982	880	782	956
714	735	860	626	430
279	175	883	621	315
445	512	788	351	734
319	294	546	15	752
68	491	875	864	31
226	662	242	299	409
809	125	958	638	817
551	292	478	367	688
914	538	750	271	759
683	13	28	508	373
688	555	472	129	902
855	867	630	89	220
293	56	99	429	646
120	246	568	53	171
231	305	647	675	126
998	389	751	817	728
740	104	25	504	582
493	175	58	515	122
528	512	991	387	335
677	978	459	715	705
955	848	865	335	72
381	188	798	24	125
697	432	68	517	916
784	219	110	817	797
588	183	65	165	130
635	573	958	695	998
934	572	532	613	496
204	841	345	243	693
121	166	218	639	91
62	320	449	938	84
771	208	507	519	443
548	451	749	12	777
781	629	18	717	247
357	361	594	844	667
514	694	802	763	764
179	756	950	890	943
745	18	755	157	437
291	99	741	505	402
871	280	916	274	297
696	284	155	581	657
594	896	991	169	1000
844	974	168	648	384
420	8	11	864	271
844	619	906	572	610
109	496	254	901	292
